module,type,name,res_id,src,value,comments
sale,model,"ir.actions.act_window,name",sale.act_res_partner_2_sale_order,Quotations and Sales,Proforma Invoices and Sales,
sale,model_terms,"ir.actions.act_window,help",sale.act_res_partner_2_sale_order,"Create a new quotation, the first step of a new sale!","Create a new proforma invoice, the first step of a new sale!",
sale,model_terms,"ir.actions.act_window,help",sale.act_res_partner_2_sale_order,"Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.","Once the proforma invoice is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.",
sale,model,"ir.actions.act_window,name",sale.action_account_invoice_report_salesteam,Invoices Analysis,,
sale,model_terms,"ir.actions.act_window,help",sale.action_account_invoice_report_salesteam,"From this report, you can have an overview of the amount invoiced to your customer. The search tool can also be used to personalise your Invoices reports and so, match this analysis to your needs.",,
sale,model,"ir.actions.act_window,name",sale.action_accrued_revenue_entry,Accrued Revenue Entry,,
sale,model,"ir.actions.act_window,name",sale.action_invoice_salesteams,Invoices,,
sale,model_terms,"ir.actions.act_window,help",sale.action_invoice_salesteams,Create a customer invoice,,
sale,model_terms,"ir.actions.act_window,help",sale.action_invoice_salesteams,"Create invoices, register payments and keep track of the discussions with your customers.",,
sale,model,"ir.actions.act_window,name",sale.action_mass_cancel_orders,Cancel,,
sale,model,"ir.actions.act_window,name",sale.action_order_report_all,Sales Analysis,,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_all,"This report performs analysis on your quotations and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.","This report performs analysis on your proforma invoices and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",
sale,model,"ir.actions.act_window,name",sale.action_order_report_customers,Sales Analysis By Customers,,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_customers,"This report performs analysis on your quotations and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.","This report performs analysis on your proforma invoices and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",
sale,model,"ir.actions.act_window,name",sale.action_order_report_products,Sales Analysis By Products,,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_products,"This report performs analysis on your quotations and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.","This report performs analysis on your proforma invoices and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",
sale,model,"ir.actions.act_window,name",sale.action_order_report_quotation_salesteam,Quotations Analysis,Proforma Invoices Analysis,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_quotation_salesteam,"This report performs analysis on your quotations. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.","This report performs analysis on your proforma invoices. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",
sale,model,"ir.actions.act_window,name",sale.action_order_report_salesperson,Sales Analysis By Salespersons,,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_salesperson,"This report performs analysis on your quotations and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.","This report performs analysis on your proforma invoices and sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",
sale,model,"ir.actions.act_window,name",sale.action_order_report_so_salesteam,Sales Analysis,,
sale,model_terms,"ir.actions.act_window,help",sale.action_order_report_so_salesteam,"This report performs analysis on your sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.",,
sale,model,"ir.actions.act_window,name",sale.action_orders,Sales Orders,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders,"Create a new quotation, the first step of a new sale!","Create a new proforma invoice, the first step of a new sale!",
sale,model_terms,"ir.actions.act_window,help",sale.action_orders,"Once the quotation is confirmed, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.","Once the proforma invoice is confirmed, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.",
sale,model,"ir.actions.act_window,name",sale.action_orders_salesteams,Sales Orders,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_salesteams,"Create a new quotation, the first step of a new sale!","Create a new proforma invoice, the first step of a new sale!",
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_salesteams,"Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.","Once the proforma invoice is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.",
sale,model,"ir.actions.act_window,name",sale.action_orders_to_invoice,Orders to Invoice,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_to_invoice,No orders to invoice found,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_to_invoice,"You can select all orders and invoice them in batch,<br>
            or check every order and invoice them one by one.",,
sale,model,"ir.actions.act_window,name",sale.action_orders_to_invoice_salesteams,Sales Orders,,
sale,model,"ir.actions.act_window,name",sale.action_orders_upselling,Orders to Upsell,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_upselling,No orders to upsell found.,,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_upselling,"An order is to upsell when delivered quantities are above initially
            ordered quantities, and the invoicing policy is based on ordered quantities.",,
sale,model_terms,"ir.actions.act_window,help",sale.action_orders_upselling,"As an example, if you sell pre-paid hours of services, Odoo recommends you
            to sell extra hours when all ordered hours have been consumed.",,
sale,model,"ir.actions.act_window,name",sale.action_quotation_form,New Quotation,New Proforma Invoice,
sale,model,"ir.actions.act_window,name",sale.action_quotations,Quotations,Proforma Invoices,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations,Beat competitors with stunning quotations!,Beat competitors with stunning proforma invoices!,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations,"Boost sales with online payments or signatures, upsells, and a great customer portal.",,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations,Check a sample. It's clean!,,
sale,model,"ir.actions.act_window,name",sale.action_quotations_salesteams,Quotations,Proforma Invoices,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations_salesteams,"Create a new quotation, the first step of a new sale!","Create a new proforma invoice, the first step of a new sale!",
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations_salesteams,"Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.","Once the proforma invoice is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.",
sale,model,"ir.actions.act_window,name",sale.action_quotations_with_onboarding,Proforma Invoice,,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations_with_onboarding,Beat competitors with stunning quotations!,Beat competitors with stunning proforma invoices!,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations_with_onboarding,"Boost sales with online payments or signatures, upsells, and a great customer portal.",,
sale,model_terms,"ir.actions.act_window,help",sale.action_quotations_with_onboarding,Check a sample. It's clean!,,
sale,model,"ir.actions.act_window,name",sale.action_sale_config_settings,Settings,,
sale,model,"ir.actions.act_window,name",sale.action_sale_order_generate_link,Generate a Payment Link,,
sale,model,"ir.actions.act_window,name",sale.action_view_sale_advance_payment_inv,Create invoice(s),,
sale,model,"ir.actions.act_window,name",sale.mail_activity_plan_action_sale_order,Sale Order Plans,,
sale,model_terms,"ir.actions.act_window,help",sale.mail_activity_plan_action_sale_order,Create a Sale Order Activity Plan,,
sale,model_terms,"ir.actions.act_window,help",sale.mail_activity_plan_action_sale_order,"Activity plans are used to assign a list of activities in just a few clicks
                (e.g. ""Delivery scheduling"", ""Order Payment Follow-up"", ...)",,
sale,model,"ir.actions.act_window,name",sale.mail_activity_type_action_config_sale,Activity Types,,
sale,model,"ir.actions.act_window,name",sale.product_template_action,Products,,
sale,model_terms,"ir.actions.act_window,help",sale.product_template_action,Create a new product,,
sale,model_terms,"ir.actions.act_window,help",sale.product_template_action,"You must define a product for everything you sell or purchase,
                whether it's a storable product, a consumable or a service.",,
sale,model,"ir.actions.act_window,name",sale.report_all_channels_sales_action,Sales Analysis,,
sale,model,"ir.actions.report,name",sale.action_report_pro_forma_invoice,PRO-FORMA Invoice,,
sale,model,"ir.actions.report,print_report_name",sale.action_report_pro_forma_invoice,'PRO-FORMA - %s' % (object.name),,
sale,model,"ir.actions.report,name",sale.action_report_saleorder,PDF Quote,,
sale,model,"ir.actions.report,print_report_name",sale.action_report_saleorder,"(object.state in ('draft', 'sent') and 'Quotation - %s' % (object.name)) or 'Order - %s' % (object.name)","(object.state in ('draft', 'sent') and 'Proforma Invoice - %s' % (object.name)) or 'Order - %s' % (object.name)",
sale,model,"ir.actions.server,name",sale.model_sale_order_action_quotation_sent,Mark Quotation as Sent,Mark proforma invoice as Sent,
sale,model,"ir.actions.server,name",sale.model_sale_order_action_share,Share,,
sale,model,"ir.actions.server,name",sale.model_sale_order_send_mail,Send an email,,
sale,model,"ir.actions.server,name",sale.send_invoice_cron_ir_actions_server,automatic invoicing: send ready invoice,,
sale,model,"ir.model,name",sale.model_account_analytic_applicability,Analytic Plan's Applicabilities,,
sale,model,"ir.model,name",sale.model_account_analytic_line,Analytic Line,,
sale,model,"ir.model,name",sale.model_account_chart_template,Account Chart Template,,
sale,model,"ir.model,name",sale.model_account_invoice_report,Invoices Statistics,,
sale,model,"ir.model,name",sale.model_account_move,Journal Entry,,
sale,model,"ir.model,name",sale.model_account_move_line,Journal Item,,
sale,model,"ir.model,name",sale.model_base_document_layout,Company Document Layout,,
sale,model,"ir.model,name",sale.model_crm_team,Sales Team,,
sale,model,"ir.model,name",sale.model_ir_config_parameter,System Parameter,,
sale,model,"ir.model,name",sale.model_mail_compose_message,Email composition wizard,,
sale,model,"ir.model,name",sale.model_mail_scheduled_message,Scheduled Message,,
sale,model,"ir.model,name",sale.model_payment_link_wizard,Generate Sales Payment Link,,
sale,model,"ir.model,name",sale.model_payment_provider,Payment Provider,,
sale,model,"ir.model,name",sale.model_payment_transaction,Payment Transaction,,
sale,model,"ir.model,name",sale.model_product_attribute_custom_value,Product Attribute Custom Value,,
sale,model,"ir.model,name",sale.model_product_category,Product Category,,
sale,model,"ir.model,name",sale.model_product_document,Product Document,,
sale,model,"ir.model,name",sale.model_product_packaging,Product Packaging,,
sale,model,"ir.model,name",sale.model_product_product,Product Variant,,
sale,model,"ir.model,name",sale.model_product_template,Product Approval,,
sale,model,"ir.model,name",sale.model_res_company,Companies,,
sale,model,"ir.model,name",sale.model_res_config_settings,Config Settings,,
sale,model,"ir.model,name",sale.model_res_partner,Contact,,
sale,model,"ir.model,name",sale.model_sale_advance_payment_inv,Sales Advance Payment Invoice,,
sale,model,"ir.model,name",sale.model_sale_mass_cancel_orders,Cancel multiple quotations,Cancel multiple proforma invoices,
sale,model,"ir.model,name",sale.model_sale_order,Sales Order,,
sale,model,"ir.model,name",sale.model_sale_order_cancel,Sales Order Cancel,,
sale,model,"ir.model,name",sale.model_sale_order_discount,Discount Wizard,,
sale,model,"ir.model,name",sale.model_sale_order_line,Sales Order Line,,
sale,model,"ir.model,name",sale.model_sale_payment_provider_onboarding_wizard,Sale Payment provider onboarding wizard,,
sale,model,"ir.model,name",sale.model_sale_report,Sales Analysis Report,,
sale,model,"ir.model,name",sale.model_utm_campaign,UTM Campaign,,
